"build_id","cust_id","user_id","buildingName","address","address2","suite","city","state","postalCode","phoneNumber","phoneExt","faxNumber","timezone","billCompanyName","billAddress","billAddress2","billSuite","billcity","billState","billPostalCode","billPhone","billPhoneExt","billFax","attention","uniqueCostCenter","remit_address","dateCreated","status"
"3","2","1","River Heights","My Building address","My Building address Two",NULL,"Noida","UP","20301","999.999.9999","99999","999.999.9999","0","Amarpali","My Building address","My Building address Two","River Height Suites","Noida","UP","20301","999.999.9999","99999","999.999.9999","River Height Attention","1418134362","This is text message.
This is text message.
This is text message.
This is text message.","0000-00-00 00:00:00","1"
"4","2","1","Silicon City","My Silicon City Address","My Silicon City Address Two",NULL,"Noida","UP","20130","888.888.8888","88888","888.888.8888","0","Amarpali","My Silicon City Address","My Silicon City Address Two","Silicon City Suite","Noida","UP","20130","888.888.8888","88888","888.888.8888","Silicon City Attention","1418134709",,"0000-00-00 00:00:00","1"
"5","3","1","Gaurs Cascade","My Gaurs Cascade Addess","My Gaurs Cascade Address Two",NULL,"Noida","UP","99999","999.999.9999","99999","999.999.9999","0","Gaurs","My Gaurs Cascade Addess","My Gaurs Cascade Address Two","Gaurs Cascade Suite","Noida","UP","99999","999.999.9999","99999","999.999.9999","Gaurs Cascade Attention","1418136891",,"0000-00-00 00:00:00","1"
"6","3","1","Gaurs Cascade","My Gaurs Cascade Addess","My Gaurs Cascade Address Two",NULL,"Noida","UP","99999","999.999.9999","99999","999.999.9999","0","Gaurs","My Gaurs Cascade Addess","My Gaurs Cascade Address Two","Gaurs Cascade Suite","Noida","UP","99999","999.999.9999","99999","999.999.9999","Gaurs Cascade Attention","1418136891",,"0000-00-00 00:00:00","1"
"9","5","1","High Street, LLC","100 High Street",,NULL,"Boston","MA","03079","617.256.3655","2147483647","123.456.7890","0","CB Richard Ellisc","100 High Street",,"1001","Boston","MA","03079","617.256.3655","0",,"Ken Smith","1418320773","dfvds sdcsd scs asas asxasd asxas 

dfsv
dsav
12534","0000-00-00 00:00:00","1"
"10","5","1","State Street, LLP","60 State Street",,NULL,"Boston","MA","02109","617.255.2255","0",,"0","CB Richard Ellis","60 State Street",,"201","Boston","MA","02109","617.255.2255","0",,"Mike Smith","1418321734",,"0000-00-00 00:00:00","1"
"12","5","1","Mall Rd, LLC","25 Mall Rd",,NULL,"Billerica","MA","02109","125.252.5258","0","622.522.2222","0","CB Richard Ellis","25 Mall Rd",,"102","Billerica","MA","02109","125.252.5258","0","622.522.2222","Eileen Smith","10102","25 Mall Rd , LLC
Account Number f0-40
PO Box 12344
New York, NY 09523","0000-00-00 00:00:00","1"
"13","5","1","Lucas Buildig, LLC","10 Lucas Drive",,NULL,"Bostn","Ma","01222","333.333.3333","0",,"0","CB Richard Ellis","10 Lucas Drive",,"1002","Bostn","Ma","01222","333.333.3333","0",,"Mrk","1418433995",,"0000-00-00 00:00:00","1"
"14","3","1","testing gaurs","Sky towers Address","Sky towers Address Two",NULL,"florida","FL","99999","999.999.9999","99999","999.999.9999","0","Gaurs","Sky towers Address","Sky towers Address Two","999999","florida","FL","99999","999.999.9999","99999","999.999.9999","999999","1418819246",,"0000-00-00 00:00:00","1"
"15","2","1","test building","weweq","weqwqe",NULL,"23321","32231","23123","231.321.2313","0","321.321.3212","0","Amarpali","weweq","weqwqe","213231","23321","32231","23123","231.321.2313","0","321.321.3212","231231","1418887893",,"0000-00-00 00:00:00","1"
"18","4","1","Federal Street","155 Federal Street",,NULL,"Boston","MA","02109","614.252.5252","0",,"0","Farley White Interest","155 Federal Street",,"102","Boston","MA","02109","614.252.5252","0",,"Sam","1419289429",,"0000-00-00 00:00:00","1"
"25","3","1","New G Building","32","23",NULL,"32","32","23132","231.231.2311","0",,"0","Gaurs","32","23","231231","32","32","23132","231.231.2311","0","232.312.3132","231321231","1420466695",,"0000-00-00 00:00:00","1"
"26","2","1","Test A Building","321","231",NULL,"32321","321321","32132","231.321.3213","0",,"0","Amarpali","321","231","231321","32321","321321","32132","231.321.3213","0","321.321.3232","231321321321","1420466940",,"0000-00-00 00:00:00","1"
